"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity"
"0x5dfbb2fe2ce13e657eaf8026986ea7fb1b21e13d048350bf839da447bd6f699b","3970837","1499136561","7/4/2017 2:49:21 AM","0x0000000000000000000000000000000000000000","0x86b891e1a998537d7abbf4ef98bf05854a2da00b","1914.72"
"0x8c7235703f329fba3f7133d2d26c849e6893c7a22f28eb8edd1d164a1acc2619","3970830","1499136490","7/4/2017 2:48:10 AM","0x0000000000000000000000000000000000000000","0x31237dcfcb4151257d534c027ccb3ba6dab66e39","499.50258"
"0x62838961e88400b15c31489afa6029cdc28be378041d4df44a477a5b768696eb","3970827","1499136418","7/4/2017 2:46:58 AM","0x0000000000000000000000000000000000000000","0x899b97cff0da536a6fee09d8c1c916432d82d670","718.02"
"0xff6ac037541c0a207d6a1e5d61efded7ae157730959897658a9c563149385ea0","3970824","1499136404","7/4/2017 2:46:44 AM","0x0000000000000000000000000000000000000000","0xc26bbccd2422f80ccd0dd6c1827ad31d3b86c6be","478.68"
"0x5aba816464707c73d109b1aa98abbaec865c429d069b33d247d388520e9f95c7","3970821","1499136374","7/4/2017 2:46:14 AM","0x0000000000000000000000000000000000000000","0x4bad4b39349dc3cbdb977efcafc8d17b31cbd066","19.1472"
"0x7330b350cb0348bc562e0ccbbe8265683e0d50c79befe373184ea8ef32e696b1","3970817","1499136317","7/4/2017 2:45:17 AM","0x0000000000000000000000000000000000000000","0x8876ec903958a967537ddb02c3a2f736ce3e5efb","467.046352752"
"0xd23f103c7bf79ae41274743b9c0f04b640d32efb4faee6edb02ccd1701a86a18","3970812","1499136204","7/4/2017 2:43:24 AM","0x0000000000000000000000000000000000000000","0xdfbd24fa522dff109a323de979efa3b2c6f3f459","1675.38"
"0x799fc565fbc9af52558ece14bf4ea2fb3664fff01b2442b6ff2f287ece595350","3970802","1499136009","7/4/2017 2:40:09 AM","0x0000000000000000000000000000000000000000","0xbb24df208be9fea044422b449db0ac53261d2e3f","169.3082687364"
"0x2754b295ccc7a57c64b3bc5d9303aa5c12f6dbef3e8c2da14773c55ae465aafc","3970801","1499135955","7/4/2017 2:39:15 AM","0x0000000000000000000000000000000000000000","0x4bad4b39349dc3cbdb977efcafc8d17b31cbd066","57.4416"
"0x1d314b7aecddec29cadc72b77ba83b1dd26a653356eebe00f9ce91531a94c979","3970800","1499135943","7/4/2017 2:39:03 AM","0x0000000000000000000000000000000000000000","0xbec2bf52b549ef4b771a2a47374d83ef3a4e81ff","4786.8"
